Name,Link,Languages & Frameworks,Comments
Coding Train,https://www.youtube.com/channel/UCvjgXvBlbQiydffZU7m1_aw,,
Coding Tutorials 360,https://www.youtube.com/channel/UC5Wi_NYysX-LfcqT3Hq9Faw,,
Computerphile,https://www.youtube.com/channel/UC9-y-6csu5WGm29I7JiwpnA,,
CS Dojo,https://www.youtube.com/channel/UCxX9wt5FWQUAAz4UrysqK9A,,
Derek Banas,https://www.youtube.com/user/derekbanas,,
DevTips,https://www.youtube.com/user/DevTipsForDesigners,,
DevTube,https://dev.tube/,,
Engineered Truth,https://www.youtube.com/user/EngineeredTruth,,
freeCodeCamp,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,,
Fun Fun Function,https://www.youtube.com/channel/UCO1cgjhGzsSYb1rsB4bFe4Q,,
Google Developers,https://www.youtube.com/GoogleDevelopers,,
LearnCode.Academy,https://www.youtube.com/user/learncodeacademy/videos,,
LevelUpTuts,https://www.youtube.com/channel/UCyU5wkjgQYGRB0hIHMwm2Sg,,
MIT Open Courseware,https://www.youtube.com/user/MIT,,
Mozilla Hacks,https://www.youtube.com/channel/UCijjo5gfAscWgNCKFHWm1EA,,
Simple Programmer,https://www.youtube.com/channel/UCFxdcuY-S6yjZGq_2cjilHg,,
Simplilearn,https://www.youtube.com/user/Simplilearn,,
Tech Talks RVNTV,https://rvntv.tv/live-broadcast/,,Wednesdays 12:30–1:00 pm EST
vickysdailystandup,https://youtube.com/victoriamei,,
