Podcast Name,Link,Comments,Notable Episodes
Adventures in Angular,https://devchat.tv/adv-in-angular/,,
All Things Git,https://www.allthingsgit.com/,"All Things Git is the podcast about the Git version control system. We talk to the people who build Git, who create tools for Git and teach people how to use it.",
BaseCS,https://www.codenewbie.org/basecs,,
Breaking Into Startups,https://breakingintostartups.com/,The Breaking Into Startups Podcast is a platform where we feature inspiring stories of people who broke into tech from non-traditional backgrounds.,
CodeNewbie,https://www.codenewbie.org/podcast,Stories from people on their coding journey.,
CodePen Radio,https://blog.codepen.io/radio/,"A podcast all about what it's like running a small web software business. The good, the bad, and the ugly.",
Coding Blocks,https://www.codingblocks.net/,,
Command Line Heroes,https://www.redhat.com/en/command-line-heroes,An original podcast about the people who transform technology from the command line up.,
Complete Developer,https://completedeveloperpodcast.com/,"The idea for The Complete Developer Podcast came from several influences on both Will and BJ. Being new to the community, BJ enjoys listening to several podcasts about coding in general and specific frameworks and languages. Working with other developers Will has insight into issues that developers and the community as a whole deal with daily. While BJ brings a fresh different approach to topics, Will knows the issues most concerning their fellow developers. The Complete Developer Podcast is their attempt to give back and help out others, be they newbies like BJ or experienced developers like Will.",
Data Science at Home,https://datascienceathome.com/,"The output of the show, produced by Amethix Technologies is the weekly episodes explaining the latest and most relevant finding in machine learning and artificial intelligence, interviewing researchers and influential scientists in the field.",
Dev Ed Podcast,https://devchat.tv/dev-ed/,,
Developer Tea,https://spec.fm/podcasts/developer-tea,A podcast for developers designed to fit inside your tea break,
Elixir Mix,https://devchat.tv/elixir-mix/,,
Front-end Happy Hour,https://frontendhappyhour.com/,,
Full Stack Radio,http://www.fullstackradio.com/,A podcast for developers interested in building great software products.,
Hackable by McAfee,https://hackablepodcast.com/,"A podcast about hacking for no hackers and hackers alike, hosted by McAfee",
if/else,https://www.ifelsepodcast.com/,"In each episode, we meet a software developer who needs to make an if/else choice. From important technical decisions to sticky career challenges, we cover the hard and soft skills you need for a sustainable and rewarding career in tech… at any stage of your career.",
JavaScript Jabber,https://devchat.tv/js-jabber/,,
Learn to Code with Me,https://learntocodewith.me/podcast/,,
Maintainable,https://maintainable.fm/,"On Maintainable, we speak with seasoned practitioners who have worked past the problems often associated with technical debt and legacy code.",
My Angular Story,https://devchat.tv/my-angular-story/,,
My JavaScript Story,https://devchat.tv/my-javascript-story/,,
My Ruby Story,https://devchat.tv/my-ruby-story/,,
Not So Standard Deviations,http://nssdeviations.com/,,
Partially Derivative,http://partiallyderivative.com/,Partially Derivative is a podcast about data science in the world around us. Episodes are a mix of explorations into the techniques used in data science and discussions with the field's leading experts.,
Programming Throwdown,https://www.programmingthrowdown.com/,,
Pursuing Mastery,https://anchor.fm/pursuing-mastery,"Thoughts on learning theory, teaching practice, interviews with interesting teachers, and how to thrive in a bootcamp!",
React Native Radio,https://devchat.tv/react-native-radio/,,
React Round Up,https://devchat.tv/react-round-up/,,
Ruby Rogues,https://devchat.tv/ruby-rogues/,,
Ruby on Rails Podcast 5x5,https://5by5.tv/rubyonrails,"The 5x5 Ruby on Rails Podcast // Been around for a very long time, covers all things Ruby developers", #289 (HTTParty) and #287 (Ruby Job Placement)
Shop Talk Show,https://shoptalkshow.com/,An internet radio show about the internet starring Dave Rupert and Chris Coyier.,
Software Engineering Daily,https://softwareengineeringdaily.com/category/all-episodes/exclusive-content/Podcast/,,
Software Engineering Radio,https://www.se-radio.net/,The podcast for professional software developers,
Syntax,https://syntax.fm/,A Tasty Treats Podcast for Web Developers.,
Talk Python to Me,https://talkpython.fm/,A podcast on Python and related technologies,
Teach Me To Code,https://devchat.tv/teachmetocode/,,
Techish,http://www.techishpod.com/,"A podcast about the intersection of tech, pop culture, and life",
Techmeme Ride Home,https://techcrunch.com/2018/03/06/techmeme-ride-home/,,
The Black Techies Podcast,https://podcasts.apple.com/us/podcast/the-black-techies-podcast/id1207725519?mt=2,,
The Changelog,https://changelog.com/podcast,"Conversations with the hackers, leaders, and innovators of software development.",
The Dev Rev,https://devchat.tv/dev-rev/,,
The freeCodeCamp Podcast,https://freecodecamp.libsyn.com/,,
The Hanselminutes Podcast,https://www.hanselminutes.com/,Fresh Tech Talk from Fresh Faces,
The Official Geek Speak Radio Podcast,https://podcasts.apple.com/us/podcast/the-official-geek-speak-radio-podcast/id189733454?mt=2,,
The Polyglot Developer Podcast,https://www.thepolyglotdeveloper.com/2016/01/the-polyglot-developer-podcast/,,
Views on Vue,https://devchat.tv/views-on-vue/,,
