Name,Link,Comments
Andiamo,https://www.andiamogo.com/wit,Women Impact Tech
Austin Startups,https://austinstartups.com/how-do-we-build-inclusive-respectful-thriving-tech-companies-that-arent-racist-or-sexist-521b2a3a986e,"How do we build inclusive, respectful, thriving tech companies that aren’t racist or sexist?"
Channel 9,https://channel9.msdn.com/Events/Build/2017/T6962,"Recorded talk ""Leadership Panel: Women Leaders Standing Out Through Technology"""
Code Jam to I/O for Women,https://codingcompetitions.withgoogle.com/codejamio,A chance to go to Google I/O
Code Like A Girl,https://code.likeagirl.io/4-meetups-that-helped-me-grow-as-a-woman-of-color-in-tech-a694ca042a14,4 Meetups That Helped Me Grow as A Woman of Color in Tech
Django Girls,https://djangogirls.org/,"Non-profit that organizes free workshops, tutorials, and empowerment seminars"
Getting a Gig,https://github.com/cassidoo/getting-a-gig,Guide for getting a gig as a tech major.
LinkedIn,https://www.linkedin.com/pulse/10-women-tech-give-younger-selves-advice-danielle-newnham/,10 Women in Tech Give Their Younger Selves Advice
Made w/ Code,https://www.madewithcode.com/,"Girls start out with a love of science and technology, but lose it somewhere along the way. Let’s help encourage that passion in teen girls."
Quartz,https://qz.com/1025809/negotiation-skills-alone-wont-fix-the-wage-gap-for-women/,Hiring women to work at my tech company taught me a hard truth about fixing the wage gap
Skillcrush,https://skillcrush.com/big-payoff-summit,All video replays available on website
Tech Ladies,https://www.hiretechladies.com/,Tech Ladies connects you with the best jobs and opportunities in tech. We connect companies with the best techmakers.
TED Talks,https://medium.com/girls-who-code/teach-girls-bravery-not-perfection-257691d13476,"Teach girls bravery, not perfection"
Women Entrepreneur,https://www.entrepreneur.com/article/296896,Onward and Upward: 5 Tips to Help Women in Tech Develop an Executive Presence
"YES, EQUAL",http://www.yesequal.us/,"""Let's make room for equality and close the gender gap"""
